declarationRequestNumber,region,stateAbbreviation,state,Biden 2020,D Governor,R Governor,Dem led,GOP led,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id,
24176,10,ID,Idaho                         ,,,1,,1,0,2024-10-07T00:00:00.000Z,Major Disaster,ID Gwen Fire,Fire,2024-07-24T00:00:00.000Z,2024-08-09T00:00:00.000Z,Turndown,2024-11-20T00:00:00.000Z,1,0,0,1,2024091201,2024-07-25T00:00:00.000Z,4fafadea-6743-4e74-b80d-32bcb04af97f,44
24009,7,IA,Iowa                          ,,,1,,1,0,2024-02-13T00:00:00.000Z,Major Disaster,R7 Winter Storms Iowa,Winter Storm,2024-01-08T00:00:00.000Z,2024-01-14T00:00:00.000Z,Turndown,2024-08-15T00:00:00.000Z,0,0,1,1,2024012501,2024-01-08T00:00:00.000Z,2ab47c5e-0b72-46f4-a6e7-7f17c8c79127,184
23094,7,IA,Iowa                          ,,,1,,1,0,2023-06-20T00:00:00.000Z,Major Disaster,R7 Iowa Building Collapse,Other,2023-05-28T00:00:00.000Z,2023-05-28T00:00:00.000Z,Turndown,2023-08-15T00:00:00.000Z,0,0,1,0,2023060701,2023-05-28T00:00:00.000Z,7e8cde4a-1829-4ec4-9698-22b81abaf69f,56
24025,4,KY,Kentucky                      ,,,1,,,0,2024-03-27T00:00:00.000Z,Major Disaster,"Severe Weather - Winds, Heavy Rains, and Tornadoes",Severe Storm,2024-03-14T00:00:00.000Z,2024-03-14T00:00:00.000Z,Turndown,2024-04-19T00:00:00.000Z,1,0,0,0,2024031501,2024-03-14T00:00:00.000Z,9d9dc49d-5c74-4df0-b43b-07752c62dbcd,23
23099,4,KY,Kentucky                      ,,,1,,,0,2023-08-18T00:00:00.000Z,Major Disaster,Severe Storms straight-line winds & flash flooding,Severe Storm,2023-07-17T00:00:00.000Z,2023-07-20T00:00:00.000Z,Turndown,2024-02-26T00:00:00.000Z,1,0,0,0,2023073102,2023-07-16T00:00:00.000Z,5c806067-d78b-433a-85f6-a7452eefdbb2,192
21079,4,KY,Kentucky                      ,,,1,,,0,2021-08-19T00:00:00.000Z,Major Disaster,R4 Kentucky Flash Flooding,Flood,2021-07-29T00:00:00.000Z,2021-07-30T00:00:00.000Z,Turndown,2021-10-08T00:00:00.000Z,1,0,0,1,2021080601,2021-07-29T00:00:00.000Z,4b3362e4-f9d0-4a11-9a67-5504bbbb152b,50
21108,3,MD,Maryland                      ,1,,1,1,,0,2021-09-27T00:00:00.000Z,Major Disaster,Remnants of Hurricane Ida,Hurricane,2021-08-31T00:00:00.000Z,2021-09-04T00:00:00.000Z,Turndown,2021-10-08T00:00:00.000Z,1,0,0,1,2021082601,2021-08-27T00:00:00.000Z,3aecee69-e0c1-4d02-8a4b-49ffd94c1192,11
24056,5,MI,Michigan                      ,1,1,,1,,0,2024-06-06T00:00:00.000Z,Major Disaster,R5 - MI May 7 Tornadoes,Tornado,2024-05-07T00:00:00.000Z,2024-05-07T00:00:00.000Z,Turndown,2025-01-18T00:00:00.000Z,1,0,0,1,2024052801,2024-05-07T00:00:00.000Z,f30d82c6-71e1-471a-8321-bee2a8507b1c,226
23060,5,MI,Michigan                      ,1,,1,1,,0,2023-06-15T00:00:00.000Z,Major Disaster,Flooding/ Spring Thaw/ Snow Melt MI,Flood,2023-04-10T00:00:00.000Z,2023-05-14T00:00:00.000Z,Turndown,2023-08-25T00:00:00.000Z,0,0,1,1,2023051102,2023-04-10T00:00:00.000Z,1b5547cf-de5b-43b5-b6bf-81681523b323,71
22046,5,MI,Michigan                      ,1,1,,1,,0,2022-06-08T00:00:00.000Z,Major Disaster,MI - Otsego County - Tornado and Severe Weather,Tornado,2022-05-20T00:00:00.000Z,2022-05-20T00:00:00.000Z,Turndown,2022-07-02T00:00:00.000Z,1,0,0,1,2022060301,2022-05-20T00:00:00.000Z,0476f341-ac36-45ef-9dc1-6ef526d60f50,24
21112,5,MN,Minnesota                     ,1,1,,1,,1,2021-09-30T00:00:00.000Z,Major Disaster,Red Lake Severe Storms,Tornado,2021-07-26T00:00:00.000Z,2021-07-26T00:00:00.000Z,Turndown,2021-10-24T00:00:00.000Z,1,0,1,1,2021092801,2021-07-26T00:00:00.000Z,d2bd0799-89ba-4ade-8625-f897e1ad698a,24
22037,4,MS,Mississippi                   ,,,1,,1,0,2022-04-29T00:00:00.000Z,Major Disaster,R04 Severe Storms,Severe Storm,2022-03-30T00:00:00.000Z,2022-03-30T00:00:00.000Z,Turndown,2022-07-02T00:00:00.000Z,1,0,0,1,2022033001,2022-03-30T00:00:00.000Z,b9173482-1c53-4347-9edf-801cdb1fd697,64
22035,4,MS,Mississippi                   ,,,1,,1,0,2022-04-28T00:00:00.000Z,Major Disaster,"Severe Storms and Tornadoes - March 21-22, 2022",Severe Storm,2022-03-22T00:00:00.000Z,2022-03-22T00:00:00.000Z,Turndown,2022-07-18T00:00:00.000Z,1,0,0,1,2022032102,2022-03-21T00:00:00.000Z,2ac3c5e5-b5d7-4111-8153-01b3e2277671,81
21076,8,MT,Montana                       ,,,1,,1,1,2021-08-02T00:00:00.000Z,Major Disaster,MT - Ft Peck Indian Res - Straight Line Winds,Severe Storm,2021-06-08T00:00:00.000Z,2021-06-08T00:00:00.000Z,Turndown,2021-09-13T00:00:00.000Z,1,0,0,1,2021080902,2021-06-08T00:00:00.000Z,ed6f625d-7891-46b7-ac80-44df43cf2afa,42
23079,1,NH,New Hampshire                 ,1,1,,,,0,2023-07-28T00:00:00.000Z,Major Disaster,Flooding ,Flood,2023-04-30T00:00:00.000Z,2023-05-01T00:00:00.000Z,Turndown,2023-09-26T00:00:00.000Z,0,0,1,1,2023051002,2023-04-30T00:00:00.000Z,c78c7980-377d-420a-96c2-4b47dc984afc,60
23051,1,NH,New Hampshire                 ,,1,,,,0,2023-05-12T00:00:00.000Z,Major Disaster,Severe Winter Storm ,Snowstorm,2023-03-13T00:00:00.000Z,2023-03-15T00:00:00.000Z,Turndown,2023-12-23T00:00:00.000Z,0,0,1,1,2023032901,2023-03-13T00:00:00.000Z,f80c1192-ca0d-4966-90b5-15293fbbfd96,225
